Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate,,0
132528,Reaves Module: Fireworks Display Mode,105,Consumable,Explosives and Devices,3500,875,289526240,300783300,1,1,216005868,260782023,249785403,1,190275815,0,0,0,,
132530,Reaves Module: Bling Mode,105,Consumable,Explosives and Devices,3500,875,0,0,0,0,1023935358,349098772,417567762,1,363612953,0,0,0,,
132531,Reaves Module: Piloted Combat Mode,105,Consumable,Explosives and Devices,3500,875,0,0,0,0,0,4936643530,4266209480,1,3355665978,0,0,0,,
136851,Commander Domitille's Helm,1,Consumable,Explosives and Devices,0,0,0,0,0,0,3503442900,113183023,1.10E+08,1,2445894617,0,0,0,,
151652,Wormhole Generator: Argus,110,Consumable,Explosives and Devices,0,5000,10007500,0,0,0,71459732,26256662,43011635,2,30920083,0,0,0,,
153487,Organic Discombobulation Grenade,1,Consumable,Explosives and Devices,0,0,433763,2.00E+05,262,15,339234,610188,367637,75,198992,0,0,0,,
153490,F.R.I.E.D.,1,Consumable,Explosives and Devices,0,0,594145,3.00E+05,1468,30,441215,402431,226485,105,328674,0,0,0,,
153494,Thermo-Accelerated Plague Spreader,1,Consumable,Explosives and Devices,0,0,197961,3500000,259,4,943826,216295,111688,44,263011,0,0,0,,
153510,Interdimensional Companion Repository,1,Consumable,Explosives and Devices,0,0,634690,250000,40,6,783311,1473305,1458932,23,1466921,0,0,0,,
153512,XA-1000 Surface Skimmer,1,Consumable,Explosives and Devices,12500,3125,338094,29000,48,7,1619475,1015079,619050,19,1372325,0,0,0,,
153573,Electroshock Mount Motivator,1,Consumable,Explosives and Devices,0,0,868003,445500,31,31,1600290,1963102,1839565,13,1478757,0,0,0,,
153597,Deployable Attire Rearranger,1,Consumable,Explosives and Devices,0,0,102002,40000,57,9,204302,324471,305215,62,261440,0,0,0,,
158212,Crow's Nest Scope,110,Consumable,Explosives and Devices,1200000,50000,1522780,5.00E+05,20,3,1374653,4029186,4516809,25,3120087,0,0,0,,
158327,Monelite Scope of Alacrity,100,Consumable,Explosives and Devices,120000,30000,240974,180000,115,11,358397,1010323,631828,35,1053141,0,0,0,,
158379,Unstable Temporal Time Shifter,1,Consumable,Explosives and Devices,0,0,214835,190000,156,6,694895,1311840,1071555,88,1270146,0,0,0,,
159827,Bomb-samdi Mojo Bombs,110,Consumable,Explosives and Devices,0,0,37692,35000,44,4,53194,84572,68975,32,113184,0,0,0,,
160560,Piece of Wreckage,1,Consumable,Explosives and Devices,0,2,0,0,0,0,0,169,100,6,131,0,0,0,,
163558,Sporonite Bomb,120,Consumable,Explosives and Devices,469000,10000,19642622,0,0,0,23853563,26812234,41579528,2,33761473,0,0,0,,
168807,Wormhole Generator: Kul Tiras,120,Consumable,Explosives and Devices,20000,5000,2204859,1998900,25,25,10432388,5232066,3510395,8,6312184,0,0,0,,
